seller_id,orders_6m,active_days_6m,revenue_6m,avg_review_6m,is_risk,risk_stage
1b0b0f4f95e962d6f32fe90c759d0479,1,1,69.9,5.0,True,almost_churn
1b1ae47a313a825a7ccceb8e2e30fa9d,8,8,1639.2,4.625,False,normal
1b45169b635ef59425637e9a33eb5fb3,6,6,262.9,4.571428571428571,False,normal
1b4b28463457a256e9a784ebe2a8f630,1,1,699.42,1.0,False,normal
1b4c3a6f53068f0b6944d2d005c9fc89,56,56,8418.5,4.068965517241379,False,normal
1b61fb1f0f2185d89e9a126c498e9cc7,1,1,49.7,5.0,True,almost_churn
1b65c144b17e607c0f37f10bb7dfec8d,5,5,1109.5,2.0,False,normal
1b7e5006cb25dd23ce8686691013b121,10,10,2590.75,4.4,False,normal
1b8356dabde1d35e17cef975c3f82730,37,37,2761.58,3.9523809523809526,False,normal
1b8b75e227c9a9c100d0c210fb6176ce,10,10,864.9200000000001,4.2,False,normal
1b938a7ec6ac5061a66a3766e0e75f90,23,23,2188.4,4.3076923076923075,False,normal
1bb2bdb95f4841f1bba2c0d2cd83d3c9,3,3,74.9,4.666666666666667,True,low_active
1bb3812d5f0747a3ab7348f199001a10,5,5,543.5,4.8,False,normal
1bc2e21de46adfea6b98cc96b00f3b40,3,3,1039.95,3.6,False,normal
1c129092bf23f28a5930387c980c0dfc,160,160,7652.92,4.1477272727272725,False,normal
1c40343cc5d18c2d8248ac2f3366de34,21,21,2461.41,4.545454545454546,False,normal
1c56ffe0e9dea2657fc6e95b53f40b13,3,3,183.0,4.333333333333333,True,low_active
1c5e4e49b9079480255b49d50aac1aa9,5,5,4175.01,4.8,False,normal
1c68394e931a64f90ea236c5ea590300,52,52,13567.84,4.3088235294117645,False,normal
1c742ac33582852aaf3bcfbf5893abcf,1,1,97.9,5.0,True,almost_churn
1c83418358f249c9d6affa52d579db0e,1,1,24.9,5.0,True,almost_churn
1ca4bdb0cd7fc48e949bac066188ed26,4,4,1520.0,4.5,False,normal
1ca7077d890b907f89be8c954a02686a,96,96,12327.76,2.247787610619469,False,normal
1caf283236cd69af44cbc09a0a1e7d32,18,18,454.2,4.65,False,normal
1cbcd2ee0afb3fc09963b87eb65e7e4f,1,1,90.0,5.0,True,almost_churn
1cbd32d00d01bb8087a5eb088612fd9c,11,11,1045.47,4.25,False,normal
1cbd50a8c52e6cf8e315c5709fab386f,9,9,785.97,3.7777777777777777,False,normal
1cbdc7cf130a41fd13a3c2a7d2fcfda7,2,2,165.8,5.0,True,low_active
1cd9e0cc1839d55516843def5600816d,5,5,825.0,5.0,False,normal
1ce3ae5a399804d1a87e706f8a813c3e,18,18,1248.7,3.6818181818181817,False,normal
1d0646a72178a6fb37ee8082140e06ec,2,2,61.0,5.0,True,low_active
1d0997ff06b524ce9289ffd75114ecd3,2,2,3198.0,5.0,False,normal
1d139e3a3b14025640d8df1b230aace0,2,2,36.49,3.5,True,low_active
1d1bbb8ac1581824986f582583fff01d,4,4,166.88,3.5,True,recoverable
1d2732ef8321502ee8488e8bed1ab8cd,2,2,827.0,3.5,False,normal
1d29dfba02015238dfbe2449a5eaa361,1,1,48.9,5.0,True,almost_churn
1d4587203296c8f4ad134dc286fa6db0,25,25,1360.3999999999999,4.1923076923076925,False,normal
1d503743d2526f03f0c2c89540ee008c,12,12,516.04,4.235294117647059,False,normal
1d8dbc4f32378d715c717c1c1fc57bae,34,34,4404.3,3.58974358974359,False,normal
1d953075c2f0dd990bacf27b83b330f1,1,1,59.0,5.0,True,almost_churn
1da366cade6d8276e7d8beea7af5d4bf,35,35,3846.29,3.951219512195122,False,normal
1da3aeb70d7989d1e6d9b0e887f97c23,54,53,1894.34,4.405797101449275,False,normal
1dc2de47ee26a0a5b12dc14fd6dc0dea,22,22,1413.7,4.6521739130434785,False,normal
1dcfa3835714681d4ba4a93bc1e0fd41,12,12,1186.6000000000001,4.076923076923077,False,normal
1dd33b8119b3cb1056ed5dc88cd0aaf4,8,8,1513.0,3.75,False,normal
1de62b6f2fd96227629786db492433db,2,2,208.8,5.0,False,normal
1dfe5347016252a7884b694d4f10f5c4,21,21,1693.5,3.1923076923076925,False,normal
1e26c56af8d48424e1df0140a2401f83,2,2,258.9,5.0,False,normal
1e47d8b6546eb3a77b1acddcc9406242,1,1,149.9,1.0,True,almost_churn
1e47defeeadeca0e9a18fa5a9311e735,3,3,234.12,5.0,False,normal
1e483cc5c76fef08d3ca05f9a8af7d01,10,10,171.99,4.090909090909091,True,recoverable
1e8b33f18b4f7598d87f5cbee2282cc2,85,85,11118.67,4.11340206185567,False,normal
1e8c6a4c538f286aee9573239740a4b4,5,5,359.7,3.8,False,normal
1e9d5a33694bddb76316fd1f54734d20,2,2,318.0,4.5,False,normal
1eade46fba20122dc4aefb379f8c636b,7,7,435.66999999999996,4.133333333333334,False,normal
1f1bb1f0859883505541bdd6606193e5,8,8,4752.95,4.5,False,normal
1f2eebc0e970fd3c463e4f5d9652687a,1,1,44.99,5.0,True,almost_churn
1f50f920176fa81dab994f9023523100,293,293,23540.7,4.247448979591836,False,normal
1f7dfad2cb384ea4d2d7e1ffbd78c407,1,1,49.0,1.0,True,almost_churn
1f7fd2a6fcd5a6fa5d8a4dabc72aaae0,2,2,316.8,5.0,False,normal
1f867308a0ce13133a4e639ff4de0c02,5,5,820.1,4.909090909090909,False,normal
1f9ab4708f3056ede07124aad39a2554,14,14,2544.23,4.071428571428571,False,normal
1fa2d3def6adfa70e58c276bb64fe5bb,1,1,6.9,1.0,True,almost_churn
1fbe10c70e30765ed1de86d9f7e98409,2,2,98.75,1.5,True,low_active
1fdc574883ef3b33ad41562d93f3a74a,16,16,3804.0,4.4375,False,normal
1fddcb7b326905d3ad5efe82187db347,1,1,92.0,1.0,True,almost_churn
1fe5540d7c1c37a595fefbacd5570d9e,20,20,4537.6,4.28,False,normal
1fe61aa5494bd3ae92a2c13e067c810f,1,1,537.76,4.0,False,normal
2009a095de2a2a41626f6c6d7722678d,6,6,256.2,4.875,False,normal
2039c5e51785b5dde7cf93ccb3b7be2c,1,1,159.9,5.0,True,almost_churn
204b4e07bddef3c9b317f70189135b22,1,1,73.4,5.0,True,almost_churn
2059c39f76271d4ca3f15b5ffaccc8b8,11,11,551.0,4.545454545454546,False,normal
20611af7866c6068fd5ae1f9dbe15c92,2,2,219.8,4.5,False,normal
2063dd1b9f568df1c16741ea7d3e6adb,1,1,165.05,5.0,True,almost_churn
2075d8cd4dd63ff12df0749a5866bb06,3,3,184.7,5.0,True,low_active
2078fe5066350e7d220c0ad3a3bbc6c1,1,1,29.9,2.0,True,almost_churn
2089a6d640999f9b9141ac719b2af596,17,17,4752.14,3.5294117647058822,False,normal
20a7efa9721046319bdde5d60b6b5365,3,3,501.20000000000005,5.0,False,normal
20a8b0dc55da94fe74d112082427c84f,7,7,407.4,4.285714285714286,False,normal
20b54c376b794ed028df09a3cd88e8dc,5,5,687.18,3.4,False,normal
20cb7c2fde3e5bf10f0bbe7394e1c6a9,16,16,371.79999999999995,4.318181818181818,False,normal
20d53aad4fe5ee93a64f8839609d3586,2,2,51.9,2.5,True,low_active
20d83f3ef0e6925fd74bfd59170babf7,12,12,887.4,4.0625,False,normal
20f0aeea30bc3b8c4420be8ced4226c0,1,1,14.9,,True,almost_churn
20fd2d2080ed85fa67fad3fcbb2c1813,1,1,85.9,1.0,True,almost_churn
2138ccb85b11a4ec1e37afbd1c8eda1f,93,93,2431.3399999999997,3.980769230769231,False,normal
213b25e6f54661939f11710a6fddb871,48,48,4224.95,3.4411764705882355,False,normal
213fafb0ca06fb3d5886579c2565791b,3,3,189.70000000000002,2.3333333333333335,True,low_active
2156f2671501a81034d7d07f217609d0,12,12,898.9,4.0,False,normal
217f005bb37ff3aeef5b2ae1788e75ba,3,3,99.96,3.75,True,low_active
218d46b86c1881d022bce9c68a7d4b15,78,78,13531.68,4.258426966292135,False,normal
